FinalWgt,CR1,CR2,CR3,CR4,OMR5,OMR6,CR7,OMR9,OMR10,CR8,CR9,CR10,CR11,CR12,CR13,OMR17,OMR18,OMR19,OMR20,OMR21,OMR22,CR14,CR15,CR16,CR17,OMR28,OMR29,OMR30,OMR31,OMR32,OMR33,OMR34,CR22,CR23,OMR37,OMR38,CR24,CR25,CR26,CR27,CR28,OMR44,OMR45,OMR46,OMR47,CR31,CR32,CR33,CR34,CR35,OMR53,OMR54,CR37,OMR56,CR38,CR39,OMR59,CR41,CR42,OMR62,CR43,OMR64,CR44,CR45,CR46,CR48,CR49,CR50,CR51,OMR72,OMR73,OMR74,CR54,CR55,OMR77,Stratum,PSU
96.39057758,1,5,1,1,1,1,1,2,4,2,1,1,1,1,1,2,1,1,1,1,1,,3,1,2,1,1,1,2,2,2,2,3,4,2,3,1,1,4,1,3,1,1,2,2,3,3,4,3,1,2,1,4,1,4,3,1,1,4,1,3,3,4,2,2,2,3,4,2,3,2,3,4,2,1,201001007,13
96.39057758,1,6,1,1,7,1,2,7,2,1,4,1,1,2,1,2,1,1,1,1,1,1,3,2,1,2,2,1,3,1,1,1,3,3,2,4,1,1,3,3,2,2,1,1,1,2,4,3,1,1,2,2,3,2,3,2,4,4,6,6,1,2,3,2,1,1,2,3,2,1,1,3,5,2,1,201001007,13
96.39057758,2,1,1,1,1,,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,1,2,1,1,3,2,2,1,201001007,13
96.39057758,2,1,1,1,1,,1,1,2,2,1,1,1,3,1,,,1,5,1,1,5,5,1,1,3,3,3,3,3,3,1,2,,3,4,,1,4,2,1,,,1,3,1,2,,1,1,,2,4,,1,1,4,1,1,5,3,,3,4,2,3,3,3,,,2,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,1,4,1,2,2,1,2,1,1,1,1,1,1,3,2,2,2,2,2,1,1,2,3,4,3,1,4,,1,1,1,1,3,1,1,2,2,4,3,2,2,1,,2,1,1,1,2,2,1,6,1,1,2,2,1,2,,3,1,1,1,2,3,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,2,1,2,,,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,2,4,4,3,4,1,1,1,1,1,1,1,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,3,2,,3,1,2,1,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,2,2,2,4,4,3,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,1,2,4,2,1,2,3,2,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,,2,1,1,1,4,4,2,4,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,4,4,3,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,3,2,2,2,3,2,1,1,2,6,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,2,3,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,3,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,2,3,1,1,1,1,1,1,1,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,1,1,3,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,2,3,3,2,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,3,2,1,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3,4,4,2,4,1,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,4,4,3,4,1,1,1,1,1,1,1,3,3,3,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,1,3,3,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,1,1,3,2,2,1,4,4,2,4,1,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,3,3,2,1,1,3,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,4,2,1,1,3,3,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,3,3,2,3,2,2,4,4,2,4,1,1,1,1,1,1,1,3,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,4,2,1,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,5,2,1,3,1,2,2,1,2,3,4,4,2,4,1,1,2,1,2,1,1,3,1,3,4,4,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,3,2,3,3,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,3,4,2,4,1,1,3,,1,1,1,6,6,4,1,1,1,1,1,1,4,4,4,4,4,,1,1,3,3,3,3,,3,3,4,1,,2,2,4,2,1,201001007,13
96.39057758,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,,,1,,,1,,1,,,,,,1,1,3,1,4,4,3,,4,1,1,1,1,1,1,3,2,4,4,4,,1,1,1,1,4,,1,1,1,1,1,1,1,2,1,2,3,3,1,2,1,1,2,4,2,1,201001007,13
96.39057758,2,1,1,1,4,2,1,1,3,2,1,1,3,3,1,2,1,1,6,2,1,1,2,1,,1,1,1,3,1,1,3,4,4,2,2,3,1,3,1,1,1,1,3,2,2,4,4,1,2,2,1,1,4,4,4,4,4,2,3,1,2,3,2,,3,3,3,1,2,2,2,3,2,1,201001007,13
96.39057758,2,1,,,2,1,1,2,1,1,2,2,1,1,2,1,2,1,3,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,2,2,1,4,1,,2,3,1,,1,3,3,3,2,1,201001007,13
96.39057758,,,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,4,3,2,3,1,1,2,2,2,2,2,1,1,4,1,3,1,1,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,3,2,1,201001007,13
96.39057758,,,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,1,1,2,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,2,2,3,4,4,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,3,2,1,3,2,3,2,1,201001007,13
114.588144,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,3,3,2,2,3,2,,,3,1,1,2,2,2,2,2,,,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,,4,2,1,1,,1,,,,2,3,,,201001007,13
153.5576805,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,4,4,2,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,2,3,3,1,2,2,1,1,,,,201001007,13
153.5576805,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,4,4,2,4,1,1,2,2,2,4,2,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,2,2,3,1,3,1,1,201001007,13
153.5576805,2,1,,,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,4,4,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,3,1,1,201001007,13
73.70139503,1,,1,1,1,1,1,2,1,2,,1,,1,1,2,1,1,1,1,1,1,1,1,1,,,,2,2,2,2,4,4,2,4,2,1,1,1,1,1,1,3,2,3,4,4,2,1,2,1,2,1,2,2,2,1,,1,,3,4,3,2,2,1,3,2,1,3,3,5,1,2,201001007,14
73.70139503,1,,,,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,3,3,2,2,2,2,2,3,2,2,2,4,4,2,4,1,1,1,1,1,1,1,1,2,4,4,4,1,2,1,1,1,1,1,1,1,1,2,1,2,3,1,2,2,3,3,1,2,1,2,2,6,1,2,201001007,14
73.70139503,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,3,1,1,3,4,4,2,4,2,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,1,2,1,1,1,4,1,2,201001007,14
73.70139503,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,3,2,1,1,1,5,1,2,201001007,14
73.70139503,1,4,1,1,1,1,2,6,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,3,4,4,1,3,4,2,3,2,2,2,2,4,1,3,4,4,2,2,1,2,1,1,3,2,2,2,,6,1,2,3,2,2,1,1,1,2,1,1,1,5,1,2,201001007,14
73.70139503,1,4,,,1,,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,2,4,1,1,1,2,2,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,3,3,4,2,1,1,1,5,1,2,201001007,14
73.70139503,1,4,,,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,1,4,4,,4,1,1,4,4,4,4,4,1,1,4,4,4,1,1,2,2,4,4,4,4,4,4,6,6,3,3,4,4,2,3,3,4,2,2,2,2,5,1,2,201001007,14
73.70139503,1,4,3,3,2,2,3,7,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,3,2,2,2,4,4,2,4,2,1,1,1,1,1,1,3,2,3,4,4,2,2,1,1,2,1,2,2,2,1,6,1,3,2,3,2,2,2,1,3,2,1,3,3,5,1,2,201001007,14
73.70139503,1,5,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,3,1,2,1,1,1,1,3,1,1,2,2,2,2,4,4,2,4,2,2,3,1,2,2,1,3,1,3,3,3,3,5,1,1,2,1,2,2,1,1,3,1,2,3,3,2,2,3,3,4,2,1,1,1,5,1,2,201001007,14
73.70139503,1,5,1,1,1,1,1,7,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,3,4,4,2,4,1,1,2,1,1,1,1,3,3,1,4,4,1,2,2,2,2,1,3,2,1,1,2,2,1,1,3,2,2,2,2,1,2,1,1,2,4,1,2,201001007,14
73.70139503,1,,,,2,1,3,4,2,,1,5,1,1,3,,1,2,1,1,,1,2,1,1,1,1,1,,2,3,1,1,,2,1,1,4,2,3,1,,1,5,2,1,3,2,1,5,2,1,2,1,1,,2,4,3,2,3,1,1,1,,,1,4,1,1,,1,1,1,2,201001007,14
73.70139503,1,5,2,2,4,3,1,7,3,1,5,1,1,2,1,1,5,1,1,1,1,1,1,1,2,2,1,2,3,1,2,3,3,4,2,3,1,1,3,2,3,2,3,3,2,3,4,4,1,1,1,1,3,2,3,3,1,3,3,6,2,2,4,3,1,3,3,4,2,1,1,1,5,1,2,201001007,14
73.70139503,1,6,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,4,4,3,4,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2,201001007,14
73.70139503,1,6,1,1,1,1,1,7,1,1,1,1,1,1,1,1,6,1,5,1,1,3,1,1,2,1,3,2,3,3,2,3,4,4,2,4,1,1,1,1,1,1,1,3,3,4,1,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,2,1,2,1,1,2,,1,1,2,5,1,2,201001007,14
73.70139503,1,6,,,2,1,3,6,2,,1,7,1,1,3,,1,2,1,1,,1,2,1,1,1,1,1,,2,3,1,1,,2,1,1,4,2,3,1,,1,5,2,1,3,1,2,5,,1,2,1,1,,2,4,3,2,1,1,1,1,,,1,4,1,1,2,,4,1,2,201001007,14
73.70139503,2,1,,1,,,2,1,1,1,7,1,1,1,1,2,1,1,1,5,1,1,1,2,2,3,2,3,3,2,,1,2,4,1,4,1,3,3,1,1,1,1,2,2,4,4,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,,3,2,1,2,1,1,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,,2,1,2,2,4,4,2,,2,1,3,1,1,1,1,1,3,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,2,2,2,,1,2,2,2,,6,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,4,4,2,4,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,,2,2,3,2,1,2,1,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,4,4,2,4,1,1,2,1,1,1,1,3,2,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,2,1,2,3,2,1,2,1,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,3,3,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,1,2,3,3,3,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,2,1,4,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,2,4,2,2,1,1,1,1,1,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,1,2,4,2,1,1,3,4,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,3,4,1,1,1,1,1,1,1,1,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2,3,2,3,3,3,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,4,4,2,4,1,1,1,1,1,1,1,2,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,1,1,1,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,1,1,3,2,1,1,3,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,2,2,3,4,4,2,4,4,1,,3,3,1,4,2,3,3,1,2,,2,,4,1,2,201001007,14
73.70139503,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,3,4,2,1,2,2,2,2,2,1,1,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,3,2,5,1,2,201001007,14
73.70139503,2,1,1,1,1,1,2,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,3,3,2,3,4,4,2,4,1,1,2,1,2,2,2,3,3,3,3,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,2,1,2,3,5,1,2,201001007,14
73.70139503,,1,,3,4,8,1,3,5,2,1,7,1,6,1,2,4,7,3,4,1,4,5,2,1,3,2,3,2,1,2,2,3,4,1,3,1,2,1,3,4,3,2,5,4,2,2,1,4,1,2,2,4,3,1,3,2,1,2,3,3,1,2,4,,2,1,1,,2,2,3,1,1,2,201001007,14
113.6700352,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,3,3,2,3,2,4,3,4,1,1,1,1,1,1,1,1,1,4,4,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,,2,1,2,2,1,2,,,1,201001007,14
181.0851992,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,3,3,1,3,3,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,,2,,2,1,,1,201001007,14
181.0851992,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,2,4,1,1,1,1,1,1,1,1,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,2,1,1,4,2,2,2,1,4,1,1,201001007,14
181.0851992,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,,2,1,3,1,2,3,4,4,1,3,1,1,2,1,2,2,2,3,3,3,3,3,1,1,,,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,2,1,1,2,1,1,1,201001007,14
62.49773761,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,3,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,1,4,4,2,3,3,4,,2,2,3,1,,2,201001008,15
70.98539394,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,4,4,2,4,4,2,1,1,3,2,1,1,3,,3,3,1,3,1,1,1,3,1,1,3,1,3,2,1,1,1,2,1,1,1,1,2,1,3,1,5,2,2,201001008,15
70.98539394,1,5,1,1,5,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,2,2,1,2,2,2,2,2,3,4,4,2,4,2,1,3,1,3,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,3,1,2,1,1,3,4,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,4,4,2,3,1,1,1,1,2,1,,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,4,2,1,1,3,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,,2,2,1,2,2,2,2,4,4,3,4,,1,1,1,1,1,1,3,3,4,4,4,1,1,2,,1,1,1,1,1,1,1,1,1,1,1,3,2,1,,1,2,1,1,3,1,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,3,2,1,1,1,1,1,1,1,1,,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,3,2,1,2,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,1,3,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,3,2,2,1,3,3,4,3,3,1,1,1,1,1,1,1,2,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,2,2,1,1,3,2,2,2,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,4,4,3,4,1,1,1,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,2,2,1,1,3,4,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,1,2,2,1,2,2,4,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,3,2,2,2,2,3,4,4,1,4,2,1,1,1,2,1,2,3,1,1,4,3,2,5,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,2,2,1,2,1,1,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,3,3,2,3,1,1,1,1,1,1,1,1,1,4,3,3,1,1,2,,1,1,,1,1,1,1,1,3,2,1,3,2,3,2,,,2,2,2,7,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,4,1,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,6,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,4,1,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,2,1,1,1,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,3,4,1,1,1,1,1,1,1,1,1,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,1,1,3,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,2,2,4,4,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,,,1,2,,1,2,1,,,,2,1,,1,2,1,2,,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,4,2,1,2,3,6,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,3,4,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,3,1,2,1,3,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,3,1,2,3,2,1,2,2,2,2,4,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,2,4,1,1,1,1,1,1,1,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,1,1,3,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,2,2,3,4,4,3,4,1,1,1,1,1,1,1,1,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,3,1,1,2,1,1,2,5,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,1,2,2,1,3,3,3,4,4,1,1,1,1,1,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,2,3,3,4,2,1,2,2,,2,2,201001008,15
70.98539394,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,3,1,3,3,1,4,4,3,4,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,3,2,1,1,1,5,2,2,201001008,15
