FinalWgt,CR1,CR2,OMR3,OMR4,CR5,CR6,CR7,CR8,CR9,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,CR24,CR25,OMR26,CR27,CR28,OMR29,OR22,OR23,CR30,CR31,CR32,OR25,CR33,CR34,CR35,CR36,CR37,CR38,CR39,CR40,CR41,CR42,CR43,OMR47,ELR1,ELR2,OMR50,SR1,SR2,SR3,SR5,OMR55,SR7,OMR57,SR11,SR12,SLR1,SLR2,SLR6,OMR63,SLR14,SLR15,OR45,OR46,OR48,OR49,OR55,OR57,OR58,Stratum,PSU
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,,,1,1,1,1,1,2,5,2,4,2,2,1,2,1,6,2,5,1,3,2,2,1,2,3,2,2,1,1,1,4,,1,,1,2,1,1,1,1,1,4,4,6,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,201601002,4
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,5,2,4,2,2,1,1,1,6,3,5,2,3,2,2,2,3,3,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,4,1,1,3,2,2,2,2,201601002,4
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,3,1,2,1,1,1,6,3,5,1,3,1,2,1,2,3,3,1,2,1,1,4,2,4,2,2,1,,2,1,1,1,4,4,1,2,4,1,1,1,1,1,1,1,1,2,2,1,2,1,201601002,4
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,5,1,3,2,1,1,1,1,6,3,5,2,2,1,2,1,2,3,2,2,2,1,1,1,1,4,1,2,1,,2,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,201601002,4
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,5,1,3,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,3,2,1,1,1,,2,4,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,201601002,4
93.42136702,4,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,5,2,4,2,2,1,1,1,1,2,5,1,3,1,2,3,2,3,3,2,2,1,1,3,1,1,1,1,1,,2,1,1,1,4,1,1,2,2,1,1,1,1,1,4,1,1,2,2,2,3,3,201601002,4
93.42136702,4,1,1,3,1,1,1,1,2,2,1,1,,,1,1,1,1,1,1,2,2,3,2,2,1,2,1,4,3,2,1,2,1,2,3,2,2,1,1,2,2,2,2,2,4,1,2,1,,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,201601002,4
93.42136702,4,1,1,3,2,1,1,1,,2,2,1,2,2,1,1,1,1,3,2,2,2,3,2,1,1,1,1,1,2,1,1,1,2,2,1,1,3,2,2,2,2,1,4,1,5,1,1,1,,2,1,1,1,1,4,1,1,3,1,1,1,1,1,2,1,1,2,2,1,1,1,201601002,4
93.42136702,4,1,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,4,2,2,1,3,1,1,2,4,1,2,1,2,2,2,2,3,2,,2,1,1,1,4,1,2,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,201601002,4
93.42136702,4,1,1,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,4,1,1,1,1,1,6,3,5,1,1,1,2,1,2,3,3,2,2,1,1,4,2,5,1,1,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,4,1,1,3,2,2,3,3,201601002,4
93.42136702,4,1,1,4,1,6,1,1,2,2,1,1,2,,1,1,1,1,1,2,5,2,4,2,2,2,1,1,6,2,5,1,1,2,2,1,2,1,2,2,2,1,1,4,1,5,1,1,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,201601002,4
93.42136702,4,1,1,5,1,2,1,1,2,2,1,1,2,,1,1,1,1,5,1,5,,4,2,2,1,1,1,6,3,,2,3,1,2,2,2,2,3,2,2,1,1,1,2,4,1,1,1,,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,201601002,4
93.42136702,5,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,5,2,3,2,2,1,1,1,6,2,5,1,1,2,2,2,2,3,1,,2,2,1,2,1,5,1,2,1,,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,201601002,4
93.42136702,5,1,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,5,2,3,2,2,1,1,1,6,2,5,1,1,2,2,2,2,3,1,,2,2,1,2,1,5,1,2,1,,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,201601002,4
93.42136702,6,1,1,2,2,1,1,1,2,2,3,2,1,2,2,,2,1,1,2,1,,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,3,1,1,1,,2,2,1,1,1,2,2,3,1,2,1,1,1,3,1,1,1,1,1,1,2,1,201601002,4
93.42136702,6,1,1,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,6,2,,2,2,1,2,2,1,1,3,2,2,1,1,3,2,1,1,2,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,2,201601002,4
93.42136702,6,1,1,5,2,1,1,1,2,2,1,1,2,2,1,1,1,4,1,1,5,2,3,2,2,1,3,1,5,2,5,2,1,3,2,3,3,3,3,2,2,1,1,1,2,,1,2,1,,2,1,1,1,4,2,1,1,1,1,1,1,1,1,3,3,1,3,3,2,2,3,201601002,4
108.4355153,7,1,1,3,1,5,2,2,2,2,1,2,2,2,2,2,2,3,1,2,1,2,3,2,1,2,3,1,6,,,1,1,1,1,1,2,1,2,1,2,2,2,2,3,4,1,1,1,,2,1,1,4,4,1,1,1,1,1,5,1,1,1,1,1,2,2,3,2,2,2,201601002,4
49.69593273,4,2,2,1,2,1,1,1,,,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,2,2,3,2,,1,2,3,1,1,1,1,2,1,1,2,1,1,,,,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,201601003,5
49.69593273,4,2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,5,5,1,2,4,1,1,1,1,1,4,3,5,1,1,1,2,2,1,3,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,4,3,1,2,2,2,1,2,201601003,5
49.69593273,4,2,2,2,2,1,1,1,1,2,1,,1,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,1,1,1,2,2,2,3,3,2,2,1,1,2,2,5,1,2,1,,2,1,1,1,4,4,1,1,2,1,1,1,1,1,2,1,1,3,3,2,2,2,201601003,5
49.69593273,4,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,6,2,5,1,1,1,2,1,2,2,3,2,2,1,1,3,3,5,1,2,1,3,2,1,1,1,4,3,1,1,4,1,1,1,1,1,3,3,1,2,2,1,3,1,201601003,5
49.69593273,4,2,2,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,2,3,3,2,3,2,2,3,2,2,1,1,2,1,5,1,2,1,,2,1,1,1,4,3,1,1,3,1,1,1,1,1,2,1,1,2,2,1,3,3,201601003,5
49.69593273,4,2,2,7,1,4,2,2,2,2,1,1,1,2,2,4,3,5,5,5,5,1,4,1,1,2,3,2,5,3,2,1,2,2,2,2,2,2,1,1,2,3,3,2,3,3,1,2,1,,2,1,1,1,4,4,1,1,2,1,1,1,1,1,2,1,1,3,3,1,2,2,201601003,5
49.69593273,5,2,,5,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,,2,1,1,1,6,2,5,1,1,3,1,1,2,2,1,2,2,1,4,4,2,1,2,1,1,,,,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,201601003,5
49.69593273,5,2,2,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,5,2,3,1,2,3,3,2,1,1,2,4,1,1,1,2,1,1,1,,1,1,1,1,4,4,1,4,3,1,1,1,1,4,3,1,1,3,3,1,3,1,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,,5,2,3,3,2,2,3,1,3,2,2,1,1,3,2,5,1,1,1,,2,1,1,1,4,3,1,1,2,1,1,1,1,1,2,1,1,3,2,2,2,2,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,5,5,2,4,1,1,1,1,1,6,2,1,1,2,3,1,3,1,3,3,2,2,1,1,3,2,5,1,2,1,,1,2,1,1,4,4,1,1,3,1,1,1,1,1,2,3,1,1,3,2,1,1,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,6,2,5,2,1,3,2,3,2,3,3,2,2,1,1,3,1,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,3,1,1,2,2,3,3,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,3,4,3,2,4,1,1,1,1,1,6,3,5,1,1,1,2,1,2,2,2,2,,2,2,4,1,3,1,1,1,,2,1,1,1,1,4,1,2,4,1,1,1,1,2,4,1,1,1,2,1,1,1,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,2,1,1,2,,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,2,1,1,1,2,1,2,2,2,2,,2,2,4,1,3,1,1,1,,2,1,1,1,2,4,1,2,4,1,1,1,1,2,4,1,1,1,2,1,1,1,201601003,5
49.69593273,5,2,2,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,2,2,3,1,1,1,1,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,2,1,1,3,1,1,2,2,2,3,1,201601003,5
49.69593273,5,2,2,3,1,1,1,1,2,2,1,1,,,1,1,1,1,1,5,5,1,4,1,1,1,1,1,6,3,5,1,1,1,2,3,2,3,3,2,2,1,2,2,2,5,1,1,1,,2,1,1,1,4,4,1,2,2,1,1,1,1,2,3,1,1,1,2,1,1,1,201601003,5
49.69593273,5,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,6,3,5,1,1,1,1,1,1,2,3,2,2,1,1,4,2,5,1,2,1,4,2,1,1,1,2,4,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,201601003,5
49.69593273,5,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,3,2,1,1,1,2,1,2,2,2,2,2,1,1,2,2,5,1,1,1,,2,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,3,2,1,1,1,201601003,5
49.69593273,5,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,2,1,1,1,1,6,2,5,2,1,3,2,3,3,3,3,2,2,1,1,2,3,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,4,1,1,3,1,1,2,2,2,1,1,201601003,5
49.69593273,5,2,2,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,,1,2,2,1,1,1,6,2,5,1,2,1,2,2,2,3,,,2,1,1,1,2,5,1,2,1,,2,1,1,1,4,4,1,4,4,1,1,1,1,1,4,1,1,1,2,2,2,2,201601003,5
49.69593273,5,2,2,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,1,4,1,1,1,1,1,6,2,1,2,3,3,2,2,2,3,2,2,2,3,1,4,1,5,1,2,1,,2,1,1,1,4,4,1,3,4,2,1,2,1,4,1,3,1,1,2,2,2,2,201601003,5
49.69593273,5,2,2,6,2,1,1,1,,,1,1,2,2,1,1,1,1,1,2,3,2,4,1,2,1,1,1,6,2,1,1,3,3,2,1,1,1,3,2,2,1,1,3,3,5,1,1,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,201601003,5
49.69593273,6,2,,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,2,4,1,1,1,1,1,6,3,5,1,2,1,1,1,1,2,3,2,2,1,1,2,2,5,2,1,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,201601003,5
49.69593273,6,2,2,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,5,1,1,1,1,1,2,2,3,2,2,1,1,3,3,5,1,1,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,201601003,5
49.69593273,6,2,2,4,1,6,,,1,1,2,2,2,2,2,4,3,4,4,3,2,2,2,2,2,7,3,3,3,3,3,1,1,1,2,1,2,3,1,1,2,4,4,4,1,2,1,1,1,,1,6,2,4,2,1,2,4,2,1,1,1,1,2,2,2,2,1,1,1,2,2,201601003,5
58.76755283,3,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,5,1,1,1,2,3,3,3,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,2,2,2,3,1,201601003,5
58.76755283,3,2,1,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,2,5,1,3,3,2,1,2,3,3,2,2,1,1,4,2,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,2,2,2,1,2,2,201601003,5
58.76755283,3,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,5,1,2,3,2,1,2,1,3,2,2,1,1,2,2,5,1,2,1,,2,1,1,1,4,3,1,1,4,1,1,1,1,1,4,1,1,3,2,2,2,2,201601003,5
58.76755283,3,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,3,2,2,1,1,1,6,2,5,1,1,3,2,1,2,3,2,1,2,1,1,4,3,5,1,2,1,,2,1,1,1,4,3,1,1,3,1,1,1,1,1,3,1,1,1,2,2,1,1,201601003,5
58.76755283,3,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,1,1,3,1,2,2,1,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,2,2,2,2,2,201601003,5
58.76755283,3,2,1,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,5,2,1,2,4,1,1,1,1,1,6,3,5,2,3,1,2,2,2,2,2,1,2,1,1,3,3,4,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,3,3,1,1,3,2,2,2,201601003,5
58.76755283,3,2,1,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,5,1,1,1,1,1,2,2,3,2,2,2,1,3,1,2,1,1,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,4,1,1,2,2,2,2,1,201601003,5
58.76755283,3,2,1,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,2,1,1,1,6,3,5,1,1,1,2,1,3,3,3,,2,1,1,3,2,5,1,2,1,,,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,2,2,2,2,1,201601003,5
58.76755283,3,2,1,7,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,5,2,4,1,1,1,1,1,6,3,5,1,1,3,2,1,2,1,2,2,2,1,1,4,2,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,4,1,1,2,2,1,2,1,201601003,5
58.76755283,4,2,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,6,2,5,2,3,3,2,3,3,3,3,2,2,1,1,3,2,4,1,2,1,,2,1,1,1,3,4,1,1,4,1,1,1,1,1,1,1,1,3,3,2,2,2,201601003,5
58.76755283,4,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,6,3,5,1,3,3,2,3,3,3,3,2,2,1,1,4,2,5,1,2,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,3,1,1,1,2,2,2,3,2,201601003,5
58.76755283,4,2,1,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,4,1,2,1,1,1,3,2,5,2,1,1,2,1,2,2,3,2,2,1,1,1,3,5,1,2,1,,2,1,1,1,4,4,3,1,3,1,1,1,1,2,2,1,1,1,2,2,1,1,201601003,5
58.76755283,4,2,1,2,,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,2,5,1,1,3,2,1,2,3,3,2,2,1,1,2,3,4,1,1,1,,2,1,1,1,4,4,1,1,2,1,1,1,1,1,3,5,1,3,3,1,3,3,201601003,5
58.76755283,4,2,1,3,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,1,5,1,3,3,2,2,2,2,2,1,2,3,1,1,3,3,1,2,2,4,1,3,1,2,2,4,6,4,4,3,1,1,1,4,1,1,1,3,1,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,,,1,1,2,2,1,1,1,1,1,1,1,1,4,2,2,1,2,1,6,2,5,1,3,1,1,1,2,1,3,2,2,1,1,4,1,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,1,1,1,3,3,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,6,3,5,1,1,3,1,2,2,1,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,4,,1,4,1,1,1,1,1,3,1,1,2,2,2,2,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,2,3,3,2,3,2,1,3,2,2,1,1,3,2,5,1,2,1,,2,1,1,1,4,3,1,1,3,1,1,1,1,1,4,1,1,2,2,2,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,4,1,1,1,1,1,2,2,3,2,2,2,1,2,1,2,1,1,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,2,1,1,2,2,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,4,1,2,1,1,1,6,3,5,2,1,1,2,3,1,1,3,2,2,2,1,4,2,4,1,2,1,,2,1,1,1,4,,,1,4,1,1,1,1,1,4,1,1,1,2,1,2,3,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,4,1,2,4,1,2,1,1,1,6,3,5,1,3,1,2,1,3,3,3,2,2,1,1,2,2,4,1,2,1,,2,1,1,1,4,3,1,1,2,1,1,1,1,1,2,1,1,3,3,2,2,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,2,4,2,2,2,2,1,6,3,5,1,3,1,1,1,2,2,3,2,2,1,1,1,2,4,1,2,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,3,1,2,3,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,5,5,2,4,2,2,2,2,1,6,3,5,1,3,1,1,1,2,2,3,2,2,1,1,1,2,5,1,2,1,,2,1,1,1,3,3,,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,,2,4,1,1,1,1,1,3,1,3,,,1,,3,,1,1,1,1,1,2,3,3,2,2,1,1,4,,5,1,2,1,,2,1,1,1,4,4,1,1,4,,1,1,1,1,1,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,2,4,2,2,1,1,1,6,2,5,1,1,3,2,1,3,2,2,2,2,1,1,1,,2,1,2,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,201601003,5
58.76755283,4,2,1,3,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,3,2,2,4,1,2,1,1,1,6,3,5,1,1,1,1,1,2,2,1,1,2,1,1,2,2,5,1,2,1,,2,1,1,1,4,4,1,1,2,1,1,1,1,1,2,1,1,2,3,2,1,1,201601003,5
58.76755283,4,2,1,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,3,1,1,2,4,1,1,1,1,1,6,2,1,1,1,1,1,1,3,3,3,2,2,1,1,4,2,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,2,1,1,2,2,1,1,1,201601003,5
58.76755283,5,2,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,6,3,5,1,1,1,2,2,3,3,3,2,2,1,1,1,2,4,1,2,1,,2,1,1,1,4,3,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,2,201601003,5
58.76755283,5,2,1,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,4,1,2,1,1,1,6,3,5,2,3,3,2,3,3,3,2,2,1,1,2,3,3,2,2,1,1,,2,1,1,1,4,3,1,1,2,1,1,1,1,1,2,3,1,1,1,1,,,201601003,5
58.76755283,5,2,1,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,2,2,2,3,1,1,2,5,2,1,1,1,1,2,3,3,2,2,1,1,1,3,4,2,2,1,,2,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,201601003,5
58.76755283,5,2,1,6,2,1,1,1,2,2,1,1,2,2,1,1,1,1,5,1,1,2,4,1,1,1,1,1,5,2,3,1,1,1,2,3,2,1,2,2,2,1,1,3,3,4,1,2,1,,2,1,1,1,4,4,1,1,2,1,1,1,1,1,2,3,1,1,3,1,2,2,201601003,5
70.33488958,5,2,3,2,1,2,1,1,1,2,1,2,2,2,2,2,2,1,5,2,1,2,4,1,1,1,1,1,6,2,5,1,1,1,2,1,2,1,2,2,2,3,1,3,1,3,1,1,1,,1,2,1,2,4,3,1,4,1,1,1,1,1,3,4,3,1,3,2,1,1,1,201601003,5
70.33488958,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,1,5,1,2,1,1,1,2,2,3,2,2,1,1,3,3,5,1,2,1,,2,1,1,1,4,4,1,1,3,,1,1,1,1,3,1,1,3,2,1,1,1,201601003,5
70.33488958,5,2,3,2,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,6,3,5,2,2,3,2,1,3,3,3,2,2,1,1,3,3,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,3,2,1,2,1,201601003,5
70.33488958,5,2,3,3,2,1,1,1,,,1,1,2,2,1,1,1,1,1,1,1,2,3,1,2,1,1,1,6,3,5,1,1,3,2,1,2,2,3,2,2,1,1,4,3,5,1,1,1,,2,1,1,1,4,4,1,1,4,,1,1,1,1,2,1,1,3,2,1,2,1,201601003,5
70.33488958,5,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,2,1,1,1,6,3,3,1,1,3,2,1,1,3,3,2,2,1,1,3,1,4,2,1,1,,2,1,1,1,4,4,1,2,4,1,1,1,1,2,4,1,2,3,2,2,1,1,201601003,5
70.33488958,5,2,3,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,4,2,1,1,1,1,6,3,5,1,1,3,2,1,2,2,2,2,2,1,1,2,3,5,1,1,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,4,1,1,3,2,1,3,1,201601003,5
70.33488958,5,2,3,4,2,1,1,1,1,2,1,1,,,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,3,1,3,1,1,1,2,3,1,1,2,3,1,4,1,5,1,1,1,,2,5,1,1,4,4,1,4,4,1,1,1,1,4,4,1,1,2,2,2,2,1,201601003,5
70.33488958,5,2,3,4,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,4,3,5,1,1,3,1,1,2,3,3,2,2,1,1,3,3,5,1,2,1,,2,1,1,1,4,3,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,201601003,5
70.33488958,5,2,3,4,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,3,2,4,1,1,1,1,1,6,3,5,1,1,3,2,2,2,1,3,2,2,1,1,3,3,5,1,2,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,2,1,1,1,2,2,2,3,201601003,5
70.33488958,6,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,3,1,1,3,2,2,2,2,2,2,2,1,1,4,3,3,1,1,1,,1,1,1,1,4,4,1,1,4,1,1,1,1,1,1,3,1,3,2,1,2,2,201601003,5
70.33488958,6,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,1,1,1,1,1,2,2,3,1,2,1,1,4,3,5,1,1,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,3,1,1,2,1,2,2,1,201601003,5
70.33488958,6,2,3,1,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,6,3,5,1,3,1,2,1,2,2,3,2,2,1,1,4,3,5,1,2,1,,2,1,1,1,4,4,1,1,4,1,1,1,1,1,3,1,1,3,2,1,3,1,201601003,5
70.33488958,6,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,4,1,1,1,1,1,6,3,5,2,1,3,2,1,2,3,3,2,2,1,1,3,3,5,1,2,1,,2,1,1,1,4,3,1,1,3,1,1,1,1,1,3,1,1,3,3,2,2,3,201601003,5
70.33488958,6,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,3,2,4,1,1,1,1,1,6,3,5,1,2,3,2,1,2,3,3,2,2,1,1,3,2,4,1,1,1,,2,1,1,1,4,4,1,1,3,1,1,1,1,1,3,1,1,1,2,1,1,1,201601003,5
70.33488958,6,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,4,1,1,1,1,1,6,3,1,1,1,3,2,1,2,1,3,2,2,1,1,3,3,5,1,1,2,4,2,3,1,2,4,4,1,1,2,1,1,1,1,1,4,1,1,2,2,1,2,3,201601003,5
70.33488958,6,2,3,2,2,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,4,2,2,1,1,1,6,2,5,1,1,3,1,1,2,3,3,2,2,1,1,2,3,5,1,1,1,,2,1,1,1,4,3,1,1,2,4,1,1,1,1,2,1,2,2,2,1,3,1,201601003,5
