FinalWgt,CR1,CR2,CR3,CR4,CR5,SAR6,SAR7,SAR8,SAR9,CR10,CR11,SAR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,SAR20,SAR21,SAR22,SAR23,SAR24,SAR25,CR26,CR27,CR28,CR29,SAR30,CR31,CR32,CR33,CR34,CR35,CR36,CR37,SAR38,CR39,CR40,CR41,CR42,SAR43,CR44,SAR45,CR46,SAR47,SAR48,CR49,CR50,CR51,CR52,CR53,CR54,CR55,SAR56,SAR58,SAR59,SAR60,SAR61,SAR62,SAR63,SAR64,SAR65,SAR66,SAR67,SAR68,SAR69,SAR70,SAR71,SAR72,SAR73,SAR74,SAR75,SAR76,SAR77,SAR78,SAR79,SAR80,SAR81,SAR82,SAR83,SAR84,SAR85,Stratum,PSU
243.0254786,1,2,1,1,1,,1,2,4,1,2,1,1,3,1,1,1,1,1,2,2,2,2,2,2,4,1,7,1,5,4,1,2,1,1,1,1,1,1,1,1,2,2,2,3,2,1,3,2,1,1,2,1,4,2,2,3,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,200702004,8
243.0254786,1,6,1,1,6,2,2,2,4,1,2,2,3,1,3,1,3,3,2,3,3,4,1,2,2,4,1,5,4,4,2,,5,1,,3,1,7,3,1,3,2,2,2,2,2,3,3,2,1,2,1,5,5,2,2,3,1,1,1,1,1,1,3,2,1,1,1,1,1,1,6,3,3,2,2,2,3,1,8,3,3,2,3,200702004,8
243.0254786,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,3,4,2,2,2,2,2,4,1,7,2,1,3,5,2,1,2,1,1,1,1,1,2,3,3,2,3,3,3,4,2,2,2,2,1,4,2,2,3,3,3,3,1,1,3,3,2,2,1,1,1,1,1,1,1,1,2,2,2,1,4,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,3,1,3,2,3,3,2,4,1,3,3,3,4,4,2,1,1,1,1,1,1,5,2,3,2,2,4,3,3,4,2,1,2,2,1,4,2,2,3,2,2,2,1,1,3,3,1,2,1,1,1,1,3,1,1,3,1,2,1,1,4,1,1,1,1,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,4,4,,,,2,2,,4,1,1,4,1,1,1,1,1,1,1,1,1,1,2,5,2,4,1,1,3,2,3,3,3,2,3,2,2,3,1,2,1,1,1,2,3,2,2,1,1,1,1,1,2,2,2,1,,1,2,2,2,1,,,,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,4,4,2,2,2,2,4,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,2,4,3,3,1,2,3,3,2,5,3,2,2,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,1,2,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,4,4,2,2,4,2,4,1,7,2,2,3,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,3,4,2,3,1,1,2,4,2,2,3,1,1,2,1,1,3,2,2,2,1,1,1,1,1,1,1,3,1,2,1,1,2,1,1,3,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,1,1,2,2,4,4,2,4,,7,7,,4,1,5,1,1,1,1,1,1,1,3,3,2,2,2,1,,1,2,1,,1,,4,,2,3,3,3,2,1,1,,,2,2,1,1,1,1,1,1,1,2,,2,2,1,2,1,,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,1,4,2,2,4,2,2,1,1,3,3,5,4,5,5,2,1,1,1,1,1,1,2,3,5,1,5,2,3,4,2,1,1,1,5,7,2,2,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,1,1,1,2,1,3,1,1,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,3,2,2,2,4,4,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,3,2,1,2,2,5,4,2,2,3,1,2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,2,2,2,1,4,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,3,3,3,2,2,2,1,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,3,4,3,2,4,3,3,4,1,1,2,2,4,4,2,2,3,2,2,1,1,1,3,1,2,2,1,1,1,1,3,1,2,1,1,2,1,1,4,1,2,1,1,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,3,2,2,2,2,2,2,4,1,2,2,1,4,1,1,1,1,1,1,1,1,1,2,1,2,1,5,1,3,1,2,1,1,2,2,4,2,2,3,1,2,2,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,3,3,4,2,2,2,4,1,7,7,1,4,1,2,1,1,1,1,1,1,1,2,1,2,2,4,2,3,4,1,1,1,3,6,4,2,2,3,3,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,3,1,2,1,1,4,1,1,2,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,1,7,2,2,4,1,1,1,1,1,1,1,1,1,3,4,2,2,2,3,3,4,2,1,3,1,3,4,2,2,3,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,4,1,1,1,4,1,1,3,1,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,4,1,2,1,1,1,3,1,3,3,2,1,2,4,3,2,2,4,2,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,3,4,2,1,2,2,1,4,2,2,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,4,1,7,7,,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,1,2,2,1,1,1,1,4,2,2,3,2,2,2,1,1,1,3,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,3,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,6,2,1,3,1,2,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,1,2,2,2,6,4,2,2,3,1,1,2,2,1,2,1,2,1,2,3,3,2,1,1,1,3,1,1,2,1,4,1,1,1,1,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,1,2,2,4,2,2,4,3,3,2,4,1,3,3,3,4,1,1,1,3,3,1,1,3,5,3,2,2,1,2,2,2,3,2,3,2,3,6,4,2,2,3,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,3,4,2,2,1,1,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,2,1,1,1,,,2,2,2,4,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,3,2,1,5,3,3,4,2,2,2,2,6,4,2,2,3,1,1,2,1,1,1,3,2,2,2,1,1,1,1,1,1,3,1,2,1,1,2,1,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,1,6,1,2,1,1,1,2,1,1,1,1,1,2,2,4,4,2,4,,7,7,5,4,1,5,1,1,1,1,1,1,1,3,3,2,2,4,1,3,4,2,1,2,1,6,4,,2,3,3,1,2,1,1,,,2,2,1,1,1,1,1,1,1,3,,2,2,1,,4,1,1,2,1,200702004,8
243.0254786,2,1,1,1,1,1,1,2,3,1,2,1,2,1,1,1,3,3,3,1,3,2,3,3,2,4,1,6,6,3,3,2,2,2,2,2,1,8,3,1,2,1,2,2,3,3,2,1,2,3,3,1,1,4,2,2,2,3,1,1,2,1,3,3,2,1,6,2,2,1,1,6,1,3,1,2,2,3,2,1,1,1,1,1,200702004,8
243.0254786,2,1,1,1,2,1,1,1,3,1,2,1,1,3,1,1,1,1,2,2,1,2,,4,2,3,1,7,7,5,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,2,1,1,1,5,4,2,2,1,,2,2,1,,3,3,2,2,1,1,1,1,3,1,1,1,1,2,2,1,2,1,1,1,2,1,200702004,8
243.0254786,,1,,,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,2,2,2,,2,2,3,,7,7,,,1,1,1,1,1,1,1,1,1,3,1,2,2,2,1,3,1,2,3,1,2,1,3,2,2,3,2,1,2,1,1,1,1,2,1,4,1,1,1,1,1,1,3,2,2,2,1,4,1,3,3,1,1,200702004,8
263.405498,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,4,2,4,2,2,4,1,7,7,5,4,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,1,2,1,3,1,4,5,2,3,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,200702004,8
263.405498,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,3,2,2,2,2,2,2,4,1,7,7,3,4,5,1,1,1,1,1,1,1,1,2,3,2,2,3,2,3,3,2,1,3,1,5,5,2,3,3,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,4,1,2,1,2,1,200702004,8
263.405498,1,5,2,3,2,2,6,3,6,3,2,4,2,1,3,1,3,3,2,3,1,1,1,2,4,3,,6,2,4,,5,3,1,3,4,2,2,4,6,1,3,2,1,2,2,3,1,2,1,1,,5,5,2,3,2,2,1,1,5,4,1,2,2,,3,1,1,1,,3,1,1,1,1,1,1,4,1,1,2,1,1,200702004,8
263.405498,1,6,2,3,2,4,7,3,7,3,2,2,4,1,3,1,3,3,1,,4,2,1,4,2,3,2,1,2,2,3,4,2,1,3,3,2,2,4,2,1,2,5,1,5,3,2,5,2,3,3,1,6,5,2,3,2,1,2,1,3,2,1,1,2,1,6,,1,,,1,,3,4,2,1,4,4,6,3,1,2,1,200702004,8
263.405498,2,1,1,1,1,,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,4,2,7,7,2,4,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,1,3,1,1,1,1,5,6,2,3,3,3,3,2,1,1,1,3,2,1,2,1,1,1,1,1,1,2,1,2,2,1,4,4,1,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,1,1,4,1,3,1,1,1,1,1,1,1,2,2,3,2,2,2,3,1,2,2,2,1,1,5,2,3,3,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,4,2,4,2,2,2,2,4,1,7,7,1,4,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1,3,4,2,1,1,1,2,4,2,3,3,2,2,2,2,1,1,3,2,2,1,1,1,1,5,1,1,3,1,2,1,1,4,3,1,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,3,1,2,1,1,1,2,1,1,1,2,4,2,2,3,4,2,4,1,7,7,1,4,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,3,1,2,1,,1,1,5,2,3,3,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,3,2,1,1,4,3,3,3,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,1,1,2,1,1,2,2,4,1,7,7,1,4,2,1,1,1,1,1,1,1,1,2,1,2,2,3,3,3,1,2,1,1,1,5,5,2,3,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1,1,1,2,2,2,2,2,2,2,3,1,2,2,2,3,5,5,1,1,1,1,1,1,1,2,1,2,2,4,3,2,1,2,1,1,1,5,4,,3,3,2,2,1,1,1,1,2,1,2,1,1,1,1,3,1,1,2,1,2,1,1,4,1,2,1,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,4,4,2,4,4,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,3,1,3,2,3,3,3,1,2,1,3,1,5,5,2,3,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,2,4,2,1,1,4,1,1,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,4,4,2,4,4,4,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,3,2,2,2,3,3,3,4,2,1,1,1,5,5,2,3,3,2,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,2,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,3,1,4,2,1,2,2,4,1,7,7,2,3,1,1,1,1,1,1,1,1,1,3,3,3,2,3,1,1,4,2,1,1,1,2,4,2,3,3,1,2,2,1,1,2,1,2,2,1,1,1,1,3,1,1,3,2,2,1,1,4,1,1,2,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,3,4,4,2,4,4,2,4,1,2,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,3,2,3,5,2,3,3,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,1,1,4,1,2,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,2,2,4,4,2,2,2,2,2,1,7,7,5,2,1,2,1,1,1,1,1,,1,2,2,3,2,2,1,2,1,2,1,3,3,1,6,2,3,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,4,2,1,1,2,3,1,3,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,3,3,3,3,3,2,3,3,2,4,1,7,7,3,4,5,2,1,1,1,1,1,1,1,3,2,2,2,3,2,1,2,2,1,1,1,5,4,2,3,3,2,2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,1,2,1,4,1,2,3,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,1,1,1,2,2,1,2,2,4,4,1,7,2,1,4,5,5,2,1,1,1,1,1,1,3,3,2,2,4,3,1,3,2,1,2,2,5,4,2,3,3,1,1,1,1,1,3,3,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,4,1,2,1,1,3,1,1,1,1,2,4,4,2,4,4,2,4,1,7,7,1,4,5,1,1,1,1,1,1,1,1,3,1,3,2,3,1,4,1,2,1,3,1,6,5,2,3,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,1,1,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,6,1,2,1,1,1,1,2,1,1,3,2,2,2,2,2,2,4,1,3,3,2,4,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,1,3,5,2,3,3,1,1,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,6,1,2,1,1,3,1,1,1,1,2,4,4,2,2,2,2,4,1,7,7,1,4,5,2,2,1,1,1,1,1,1,2,2,3,2,4,3,4,4,2,1,1,1,5,4,2,3,3,3,1,1,1,1,1,2,1,2,1,1,1,1,3,1,1,2,3,2,1,1,4,1,1,1,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,2,1,1,1,4,4,2,4,4,4,4,2,7,7,1,3,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,3,2,3,3,2,2,1,1,1,3,1,2,1,5,2,2,2,1,1,1,2,3,2,2,1,4,1,1,3,1,2,200702004,8
263.405498,2,1,1,1,1,1,1,1,7,1,2,1,1,3,1,1,1,1,1,1,4,1,4,4,2,4,1,7,7,1,4,2,1,1,1,1,1,1,1,1,2,2,2,2,4,1,3,4,2,1,2,1,2,6,2,3,3,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,3,1,1,2,1,200702004,8
263.405498,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,4,4,1,4,4,4,1,7,7,3,3,2,5,2,2,2,1,1,1,2,2,2,2,1,2,2,2,4,2,1,3,1,3,6,2,3,3,2,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,2,1,2,2,1,4,1,2,1,1,1,200702004,8
263.405498,2,1,1,1,1,1,1,2,4,1,2,1,1,3,1,1,1,1,1,4,4,4,4,4,2,4,1,7,7,2,3,1,1,2,1,,1,1,1,6,1,4,4,2,4,1,3,1,2,2,2,1,2,5,2,3,2,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,1,4,1,1,1,4,1,3,2,2,1,200702004,8
263.405498,,,1,1,1,1,1,1,,1,2,1,1,1,1,1,2,,3,4,4,4,4,4,2,3,1,7,7,5,4,1,1,2,3,1,1,3,4,2,1,2,2,2,3,1,2,1,2,1,3,1,2,5,2,3,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,4,1,1,2,4,3,3,3,2,1,200702004,8
263.405498,,,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,3,2,2,2,4,4,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,5,2,1,2,1,2,5,2,3,3,2,2,2,5,1,2,3,2,2,1,1,1,1,1,1,1,3,4,2,1,1,4,3,1,1,1,1,200702004,8
266.9321718,1,2,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,3,1,2,2,2,2,2,2,4,1,7,7,2,4,1,2,2,1,1,1,1,1,1,1,3,1,2,2,2,4,2,,2,2,1,4,2,2,1,3,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,3,3,4,1,1,1,4,1,2,1,2,1,200702004,8
454.6320957,2,,1,1,1,1,1,2,6,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,2,2,2,4,1,1,1,1,1,1,1,4,1,1,2,2,2,4,1,1,1,2,1,1,1,1,3,2,,2,,,2,1,1,3,3,1,,2,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,1,,200702004,8
454.6320957,2,1,1,1,,1,,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,3,2,2,4,1,2,2,1,1,1,1,1,1,1,3,2,2,1,3,3,1,2,1,1,3,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,4,1,1,1,2,2,3,3,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,4,2,2,4,2,1,4,,7,7,1,4,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,1,1,2,1,2,1,3,,2,4,3,3,2,2,1,1,1,1,2,2,1,1,1,1,5,1,1,3,3,2,2,1,4,1,2,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,4,4,2,1,2,4,2,2,2,1,1,1,1,1,1,1,1,1,3,2,2,2,3,3,1,1,2,1,1,3,1,3,2,1,2,2,2,2,1,1,1,3,2,2,1,1,1,1,1,1,1,3,4,1,1,1,4,1,1,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,7,1,4,2,2,1,1,1,1,1,1,1,1,3,2,2,2,3,2,1,2,1,3,3,1,3,2,1,3,3,3,3,1,1,3,,2,2,1,1,1,1,1,1,1,3,3,1,1,1,4,1,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,3,3,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,2,1,1,1,6,3,2,1,3,2,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,4,2,1,1,2,1,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,4,4,2,4,4,2,4,1,3,3,1,3,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,1,2,1,1,1,1,3,2,1,3,2,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,2,2,2,2,2,2,4,1,3,3,5,3,2,3,1,1,1,1,1,1,1,2,2,2,2,3,3,1,1,2,1,2,3,6,2,2,1,3,2,2,1,1,1,1,3,1,2,1,1,1,1,2,1,1,1,3,1,1,1,4,1,1,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,5,3,1,1,2,1,1,3,1,3,2,1,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,3,1,2,1,4,1,3,1,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1,2,1,2,3,1,2,2,1,3,1,3,2,1,1,1,3,,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,3,3,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,4,,3,3,1,1,1,1,2,4,2,1,3,1,,2,1,1,3,2,2,2,1,1,1,1,1,1,1,2,4,1,1,1,4,1,1,1,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,4,2,2,4,1,7,7,1,3,1,2,1,,,1,1,1,2,1,2,3,2,2,1,1,1,2,1,2,2,1,2,2,1,3,1,1,2,1,1,3,2,2,2,1,1,1,1,1,1,1,2,4,1,2,1,4,1,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,4,2,4,2,3,1,2,2,1,4,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,1,2,2,2,3,1,3,2,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,4,1,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,4,2,2,2,2,2,4,1,3,3,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,4,3,3,1,2,1,2,2,6,3,2,1,3,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,5,3,1,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,3,3,1,3,3,1,3,3,4,2,1,4,6,2,1,1,1,2,1,1,1,1,1,1,3,3,2,2,2,2,4,5,2,1,2,1,5,3,2,1,3,1,1,2,1,1,3,3,2,1,3,1,1,1,1,1,1,3,4,2,2,1,3,1,3,3,2,3,200702004,8
454.6320957,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,2,2,3,3,1,3,2,1,3,3,2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,3,2,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,7,1,4,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,1,1,1,3,1,2,3,2,1,3,1,1,2,1,1,3,3,2,1,1,1,1,1,1,1,1,3,4,1,1,1,4,1,3,1,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,2,2,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,1,1,2,1,1,1,1,3,2,1,3,1,2,2,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,1,1,1,4,1,3,2,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,1,7,7,1,4,1,1,1,1,1,1,1,1,5,1,2,2,2,2,3,1,2,1,1,2,3,2,2,2,1,3,3,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,4,1,2,1,1,4,1,1,,1,,1,1,1,1,3,2,2,2,4,2,1,1,2,1,,2,2,2,2,1,3,2,2,2,1,1,1,,2,2,1,1,1,1,1,1,1,3,3,2,1,1,2,1,3,3,2,1,200702004,8
454.6320957,2,1,1,1,1,1,1,1,7,1,2,1,1,1,1,1,1,1,2,2,2,2,4,2,2,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,2,2,2,1,3,1,1,1,1,2,1,1,2,2,1,3,1,,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,4,1,1,1,2,1,200702004,8
228.6362027,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,2,2,4,3,3,2,4,4,4,4,1,7,7,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,2,2,2,1,2,1,3,3,2,4,,2,,3,1,,5,2,2,1,,2,1,1,1,2,1,3,2,1,1,2,,1,1,2,2,3,2,1,200702005,9
228.6362027,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,1,1,2,4,4,4,3,1,3,5,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,1,2,1,6,,3,2,3,1,1,,,2,,2,2,3,4,4,2,1,2,1,2,2,1,2,1,,7,,,,1,200702005,9
250.5862713,1,1,1,1,1,1,1,1,4,1,,,2,1,1,1,1,1,1,3,2,2,2,2,4,4,1,2,3,1,4,1,1,1,1,1,1,1,1,1,2,2,3,2,3,1,4,2,2,1,2,2,1,6,2,2,3,1,2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,2,2,2,3,200702005,9
250.5862713,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,4,4,4,4,1,3,7,1,4,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,3,3,1,6,5,2,2,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,1,3,2,1,200702005,9
250.5862713,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,2,4,4,4,4,1,7,7,1,4,1,1,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,3,3,1,6,4,2,2,3,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,2,2,1,4,1,1,3,,1,200702005,9
